788.0{90, -120, 87, -62, 115, 85, -47, 109, -66, 9, -18, 121, 123, 116, 46, 43, -4, -84, -22, 81, -80, -105, 49, 116, 32, 107, 83, 97, 77, -56, 27, 79, -32, -12, 93, 115}
770.0{77, -95, 9, 37, -42, 31, 10, 112, -58, -18, 16, 111, 109, 92, 15, -47, -16, 7, -35, 88, -75, -110, 14, 53, 59, 11, 113, 57, 40, -70, -46, -4, 4, -1, 104, 48}
759.0{123, -55, 19, -16, 71, -42, -55, 70, -6, -26, 20, 93, 110, 116, 32, 115, -37, -65, -49, -71, -109, 67, -6, 125, 83, 67, -14, 115, -95, -7, -53, 41, -98, -7, 80, 107}
758.0{-82, -126, -10, -57, 71, 17, 83, 48, -56, -35, 113, 45, 67, 2, -38, 2, -72, -44, -57, 110, -61, -125, 24, 61, 124, 104, 124, 44, -42, -69, -101, -109, -104, 1, 120, 83}
742.0{89, -91, 34, -58, 69, 11, -69, 81, -50, -20, 50, 120, 117, -35, -110, 53, -62, -127, -103, -19, -121, -39, 94, 90, 84, 97, 112, 83, -93, -2, 15, 9, -116, -61, 67, 99}
741.0{-111, -54, 126, 116, 74, -65, -22, 81, -125, -77, 103, 116, 113, -89, -12, 40, -35, -118, 125, 116, -89, -101, -12, 36, 69, 59, 21, -7, -37, -23, -49, -34, -46, 47, 57, 52}
738.0{116, -117, -79, -94, -16, -8, -116, 77, -123, 47, -6, 90, 115, 96, -26, 104, -44, -52, -116, 120, 42, -22, 70, 56, 99, 5, 69, 28, 80, 22, -79, -121, -82, -48, 68, 94}
738.0{74, 91, 116, -113, 51, -111, 14, 120, -59, -26, 54, 68, 89, 34, -91, -1, 46, 72, -66, 120, -17, 103, 119, 115, 112, 97, 11, 71, -97, -88, -108, 89, -20, -88, 123, 80}
732.0{111, 50, -118, 69, -2, -127, -51, 64, -63, 77, 14, -45, 58, 25, 41, 103, 9, 0, -81, -122, -90, 36, 86, 122, -112, 75, 125, -43, 121, -55, -56, -46, -98, -49, 101, 107}
728.0{10, 34, -25, -17, 39, -102, -121, 84, -85, 47, -92, 56, 45, 32, -89, 117, 72, -81, 3, 73, -67, -90, 117, 127, -38, 114, 27, -73, 57, -41, -78, -124, -90, 52, 114, 74}
712.0{126, -34, 83, 80, -100, -74, -109, 86, -85, 10, 22, 107, 113, 46, 108, 127, 103, -30, -45, 34, 21, 118, -14, 125, 76, 73, -97, 49, 68, 8, -75, 2, 72, 80, 118, 123}
695.0{125, -80, -30, -76, 112, -18, -97, 6, -110, -42, 54, 91, 117, 47, 86, -18, -33, -96, -71, 30, -20, 29, 126, 121, 125, 119, 83, 63, 108, -89, -4, 102, -102, 74, 118, 89}
692.0{104, -64, -102, -10, -35, -117, 6, 118, -126, 63, -17, 98, 112, 114, -89, 48, 19, -121, -106, 108, -5, 121, 45, 110, 72, 103, 32, 99, -62, -44, -46, -52, -86, -95, 93, 107}
674.0{-16, -105, 109, -124, 92, -6, 108, 13, -82, 114, 98, 20, 109, -20, -30, 82, 83, -79, -101, 32, -92, 73, 60, 118, 124, 119, 96, 93, 37, -90, -16, 56, -56, 98, 114, 116}
671.0{69, -115, -95, 43, 19, 39, -33, 45, -63, 87, -49, 64, 112, -9, -126, -75, -55, -68, 34, 76, -66, -50, 6, 16, 104, 51, 93, 33, -16, -80, -62, -51, -98, 38, 90, 82}
