1734.0{56, -125, 46, 26, -18, 56, 110, 48, 85, -30, -120, 28, 112, -95, -121, 60, -83, -76, 53, 89, 53, 38, -71, 96, 108, 18, 49, -119, -26, -108, -61, -48, -88, -29, 79, 117}
1483.0{63, -119, -11, -127, 86, -119, 90, 45, 120, -101, 1, 92, 22, -79, -92, -30, -57, -36, 98, 44, 81, 109, -80, -15, 101, 101, -14, 10, -28, -98, -54, -15, -64, -51, 70, 126}
1483.0{-40, -124, -64, 127, -50, -105, -29, -108, 121, 125, -50, 81, 127, 118, -11, -34, -124, -126, 0, 78, 54, -111, -27, 90, 122, 45, -72, -37, -36, -80, -60, -42, -63, -84, 72, 73}
1466.0{111, -83, -52, 97, -51, -63, 107, -1, 42, -93, -122, 123, 24, -126, -46, 25, -116, -37, 39, 71, 110, 64, -93, 55, 57, -2, -49, -44, -62, -101, -92, -66, -110, -99, 93, 116}
1418.0{101, -127, 10, 23, -125, 59, 100, 74, 41, -58, -5, 49, 97, -114, -96, -101, -86, -82, 19, 75, 44, -40, -32, 76, 124, 127, 28, 17, -37, -107, -59, 4, -42, 35, 67, 109}
1319.0{77, -114, 32, 43, -32, -60, 34, 20, 60, -96, -76, 77, 110, -118, -35, 106, -90, -102, -22, 50, 33, -31, -65, 101, 106, 108, 52, -48, -65, -40, -70, 53, -85, 23, 49, 112}
1295.0{126, -103, 109, 127, -95, -81, 92, 121, 47, -98, -127, 112, 107, -103, -109, 14, -125, -127, -23, 8, 113, 4, -83, 64, 60, 109, 92, 15, -16, -128, -88, 3, -84, 34, 81, 102}
1283.0{57, -54, -114, 99, 56, -74, 2, -71, -11, 87, 47, 70, 89, -93, -114, 112, -92, -87, 5, 66, 77, -19, -61, 97, 116, 100, 4, 34, -42, -57, -43, 53, -17, -17, 18, 110}
1242.0{127, 56, -47, 5, -122, -27, 58, -29, 51, 126, -109, 6, 57, -117, -75, 107, -100, -99, 64, 118, 112, -7, -87, 54, 93, 116, 34, -52, 33, -88, -19, 28, -24, -47, 33, 123}
1238.0{-127, -82, 4, 125, -98, 111, 90, 111, 95, 64, -128, -4, 125, -32, 46, 96, -115, -107, 98, 60, 103, -28, -98, 118, 121, 89, 70, 11, -20, -87, -99, 7, -35, 25, 46, 94}
1221.0{-92, -107, -77, 14, -114, -35, 38, -54, -16, 6, -59, 56, 38, -109, -119, -102, -42, -105, 85, 99, 66, -27, -85, 51, 71, 124, 76, 5, 35, -109, -21, 22, -6, -7, 36, 94}
1216.0{-66, -119, 102, 65, -74, 104, 5, 42, 10, -8, -64, -19, 95, -21, -68, 96, -67, -104, 65, 45, 35, 58, -67, 73, 57, 95, -58, 17, 44, -123, -28, -18, -47, 11, 59, 123}
1194.0{118, -107, -122, 64, -79, -81, 40, -74, 20, -75, 5, 55, 104, -85, -104, -93, -40, -99, -34, 14, -22, -63, 35, 22, 103, 110, -60, 89, -50, -90, -63, -69, -17, -32, 61, 117}
1105.0{49, -49, 76, 73, -54, 13, -14, -28, 25, -83, -69, 110, 77, 16, 81, 86, -83, -56, -1, 111, 100, 28, -111, 113, 87, 42, 68, -34, -19, -97, -69, -86, -40, -42, 73, 117}
1067.0{-81, -75, 49, 62, -120, 61, -50, 29, 109, -41, 32, -14, 125, -54, -49, 16, -18, -121, 81, -46, 73, 69, -84, 111, 78, 58, -83, -46, -38, -102, -96, -37, -76, -61, 78, 64}
