632.0{25, -94, -12, 42, -49, 68, 51, -69, 69, -92, -96, 80, 53, -7, 32, 75, -79, -127, -24, 53, 87, -57, -52, 100, 120, 76, -5, -25, -42, -73, -60, -6, -49, -2, 49, 117}
520.0{65, -117, -20, 114, -27, 77, 81, 62, 104, -81, -70, 43, 64, -94, -47, 71, -56, -47, 63, 96, 67, 30, -77, -1, 111, 98, 12, 18, -3, -78, -56, 55, -51, -68, 41, 100}
440.0{48, -94, -38, 119, -103, 113, 96, 75, 112, -49, -19, -57, -33, -28, -69, -82, -125, -101, 0, 10, 56, -57, -52, 56, 109, 88, 26, 89, 76, -69, 8, 7, 2, 87, -7, 124}
438.0{-13, -86, -94, 7, -51, 93, 103, 90, 119, -78, -125, -97, 126, -40, -107, 11, -50, -106, 50, 95, 91, -120, -8, 118, 105, 126, 64, 10, 95, -67, -42, 41, 11, -9, 10, 106}
436.0{-101, 91, 89, 119, -92, 62, 19, 89, -85, -78, 40, 12, -52, 44, 97, 41, 109, 52, 11, 124, 5, -87, 121, 57, 93, 71, 72, 54, -89, -39, -111, 76, -17, 8, 78, 92}
357.0{98, -126, 110, 125, -74, -97, -59, 38, 115, -20, 61, -40, -86, -80, 65, 82, -44, 18, 1, -94, 55, -65, 127, 17, -4, 79, 96, -80, -42, -59, -68, -76, -66, 53, 64, 124}
347.0{24, -86, 127, -49, -99, 20, 90, 74, 57, 26, -72, -33, 15, -106, 7, 68, -109, -90, 48, 40, 60, -77, 5, 103, 114, 32, 12, 45, -64, -106, -58, 20, -42, -11, 35, 108}
301.0{29, -44, 96, 124, -93, -80, 110, 6, 89, -27, 108, -85, 84, -112, 66, 118, -103, -105, -70, -16, -43, -29, 107, -40, 20, 31, 62, -95, -73, -114, -30, -87, -50, 57, 77, 110}
257.0{-101, -48, 18, -64, -9, 54, 116, 69, -4, 2, 95, -23, 125, 2, 95, 112, -79, 10, 23, -60, 122, 55, 99, -60, 111, 74, 72, -71, 9, -94, -63, -71, 9, 65, 104, 93}
89.0{72, 57, 66, 104, 41, -20, 36, 44, -27, -86, 53, -70, 18, 46, 105, -128, -13, -106, -35, 41, 92, -18, 112, -76, 41, 24, 71, 100, -67, -127, -117, -6, 24, 66, 117, 61}
